name,time,f,content,transmit,comment,praise,spiderTime
广州日报,2分钟前,微博直播平台,【直播 | 广州市疫情防控新闻发布会】4月9日上午，广州市人民政府新闻办公室召开广州市疫情防控新闻发布会，邀请市卫健委、市商务局、白云区、市疾控中心相关负责同志通报我市新冠肺炎疫情防控相关情况。（广州日报•新花城记者：方晴 林欣潼 许晓芳 王燕）,1,2,2,2022-04-09
四川轻化工大学,2分钟前,四川轻化工大学超话,,转发,2,1,2022-04-09
-四分三十三秒-,2分钟前,,#上海疫情#,1,2,10,2022-04-09
中国新闻网,3分钟前 转赞人数超过10,微博 weibo.com,【,4,12,18,2022-04-09
深圳市场监管,2分钟前,iPhone客户端,【“战疫”平常心 发现一起就扑灭一起！| 速观察】,转发,评论,赞,2022-04-09
,,,,,,,2022-04-09
WithAndyooo,2分钟前,iPhone客户端,#上海将进行三区阶梯式管理#,转发,评论,赞,2022-04-09
遂宁故事绘,3分钟前,vivo S7轻薄自拍旗舰,#遂宁防控互助#,转发,1,1,2022-04-09
中国电信,3分钟前,微博 weibo.com,【中国电信江西婺源分公司: 逆行在战“疫”一线，他们守护婺源春天】,转发,评论,赞,2022-04-09
小超特烦恼,4分钟前 转赞人数超过10,iPhone 13 Pro(远峰蓝色),#上海将进行三区阶梯式管理#,转发,1,9,2022-04-09
Cheyenne嘉嘉,3分钟前,不着调iPhone 12 Pro,#广州 疫情#,转发,评论,3,2022-04-09
财经网,4分钟前 转赞人数超过50,iPhone 11,【上海：,17,65,29,2022-04-09
语嫣秘籍,3分钟前,iPhone客户端,#我在长春挺好的#,转发,评论,赞,2022-04-09
中国新闻网,4分钟前 转赞人数超过20,微博 weibo.com,【,6,7,18,2022-04-09
开水族馆的生物男,4分钟前 转赞人数超过100,iQOO 9 Pro 赛道传奇,前些天长春的好朋友跟我说：物资供应跟不上，部分社区物业联手掐掉平价菜倒卖关系户几倍价格的货，朋友们都在讨论疫情结束想去南方工作了...然后昨晚留言：就这？怎么比我们东北都不如？,65,48,90,2022-04-09
城东个体户王大宝,3分钟前,iPhone 13,“报警”这件事相当值得玩味。当组织状告个人，或者说疫情期间对于法律责任的强调，其对象都指向普通人。公家要用法律治理个人，而非相反。屠狗者不会因故意损坏财物受到惩处，淡漠的执勤警察不会涉嫌渎职罪，而公民则时时刻刻需要注意自己不该说什么。问题最后就成了，谁才是合格的被报警的对象。 ​,1,1,1,2022-04-09
山西晚报,3分钟前,,【阳泉平定县划定封控区、管控区、防范区！】根据平定县当前疫情防控形势，结合疫情流调溯源实际情况，县疫情防控领导小组决定，现将平定县指定区域划定为封控区、管控区，具体划定范围及管控措施通告如下：,转发,评论,赞,2022-04-09
南阳日报,3分钟前,新版微博 weibo.com,#4月8日新增确诊1350例#,转发,评论,赞,2022-04-09
福州地铁,3分钟前,HUAWEI Mate 20 Pro,【地铁运营信息】4月11日（下周一）起，福州地铁全线网每日运营服务时段和行车间隔恢复正常运营。温馨提醒：疫情期间市民乘客乘坐地铁时，请主动出示“健康码”，全程规范佩戴好口罩，并配合车站的测温安检工作，感谢您的理解和配合。,转发,评论,赞,2022-04-09
哼朱可笑,4分钟前 转赞人数超过10,三星Galaxy S10+,#无锡疫情#,转发,评论,15,2022-04-09
吉林发布,4分钟前 转赞人数超过40,微博直播平台,本轮吉林省疫情防控工作第30场新闻发布会,8,133,49,2022-04-09
往事莫回味-,4分钟前 转赞人数超过10,iPhone客户端,#上海新增本土确诊1015例无症状22609例#,转发,评论,13,2022-04-09
兰子2021,3分钟前,OPPO A8,看目前这形式，社区团购已经是上海中产的最后自我救济方式，虽然有遇到各种问题，但是还是能在市场中得到解决，特殊时期也就别追求所谓的完美了。,转发,评论,4,2022-04-09
迪拜中阿卫视,3分钟前,奥密克戎超话,,转发,评论,赞,2022-04-09
皮耶罗和英扎吉在一起,3分钟前,iPhone客户端,从目前透露出来的消息，真的让我十分震惊，上海的运气得多么的好，躲过了之前那么多波疫情。其他省市那么多好的经验真是一点都没搞，以至于最近上海采取系列措施时，还用来当新闻报出来我才知道，这些措施包括但不限于：封控管控防控的3区，场所码的应用，核算扫描身份证或二维码自动生成信息………… ​,转发,评论,赞,2022-04-09
春风得意马蹄疾-一日看尽长安花,3分钟前,iPhone客户端,#广州 疫情#,1,评论,3,2022-04-09
,,,,,,,2022-04-09
央视新闻,4分钟前 转赞人数超过700,微博视频号,【,89,192,931,2022-04-09
公务员考试答疑君,4分钟前 转赞人数超过10,见置顶微博Android,#上海新增本土确诊1015例无症状22609例#,转发,1,16,2022-04-09
苍岩素,3分钟前,新版微博 weibo.com,昨天白云区出现了几例新冠阳性，晚上8点半就开始全区全员核酸检测，很快健身房也发了通知今天起开始闭馆。今早就看到做为隔壁区的我们也要求全员核酸检测了。我鉴于吉林和上海疫情的前车之鉴，广州很紧张啊，市政府下发通知动员各企事业单位党员干部全力支援白云区。我思来想去，还是赶紧下单买点儿吃 ​,转发,评论,2,2022-04-09
守望者------why-001,4分钟前,微博 weibo.com,流动往返人员隔离需要坚持14天---------小区因疫情封闭啦，显得家庭储备的必要性。谨防检测人群密集，核酸检测过程增加传染风险。防疫要制度化，温情化要不得，因为上海回来的两个人不遵守居家隔离规定，结果把一座城弄得停摆啦，生产生活流通停摆。 ​,转发,评论,赞,2022-04-09
黝黑的妹妹,4分钟前,iPhone客户端,#江苏宿迁一学校123名师生感染新冠#,转发,评论,赞,2022-04-09
东北知识局,4分钟前,,#长春新增本土确诊150例#,转发,1,6,2022-04-09
MW爱Pia和JOJ一直在德奥峰,4分钟前,iPhone,每天都在搞疫情防控直播，每天还是一堆人快断粮又买不到菜……这直播有个什么意义，菜都在电视里又吃不到，不如全天放点轻松的电影神马的，好坏让人精神放松一下,转发,评论,1,2022-04-09
雷斯林Raist,5分钟前 转赞人数超过100,iPhone 12 Pro Max,朋友3月下旬刚来上海入职，4月1日正式上班，结果还没上班呢就封在家里了，现在每天居家办公。,5,20,126,2022-04-09
MaomaosHoliday,5分钟前 转赞人数超过50,假日的HarmonyOS设备,希望大家温柔一点，疫情之下不要聚集,4,3,54,2022-04-09
全网最热视频,4分钟前,微博视频号,“大白”下乡做核酸，老人想吃莴笋大白抄起菜刀：架势不会输,转发,评论,赞,2022-04-09
小寒每天都开心,4分钟前,iPhone 12,本来我对上海这个城市充满了美好的幻想，甚至已经决定去上海读研究生，更甚在上海开始我的职业生涯，但是疫情期间发生的种种，让我觉得上海好像不是一个有人情味的地方，好像是一个对外地人不太友好的地方，我以前看到的那些好都是假的吗，只是上海本地人的美好生活吗，我真的犹豫了 ​,转发,2,赞,2022-04-09
广东天气,4分钟前,360安全浏览器,天气晴好，紫外线强烈，外出做核酸前记得先涂好防晒霜，或者带把遮阳伞，帽子等防晒物品，另湿度较低，干燥维持，出发核酸前记得先喝上几口水。,1,3,8,2022-04-09
漂亮国傻事,4分钟前,歪嘴的龙王Android,疫情这么严重了，大家都体谅一下志愿者吧，人手不够，任务又重，尽量别买非必要的东西，毕竟他们光是维持基本的物资运转都已经很辛苦了啊。,3,8,12,2022-04-09
犄jiao旮旯小小钶儿,4分钟前,nova7你在焦点在,2022疫情📝,转发,1,赞,2022-04-09
胡江波在北京,4分钟前,iPhone XS Max,#广州11个区开展全区全员核酸检测#,转发,1,1,2022-04-09
海口直播12345,4分钟前,微博 weibo.com,【可预约登记采样！“海南健康宝”操作指引来了】,转发,评论,赞,2022-04-09
Hawkeye44,4分钟前,鹰眼的超跑HarmonyOS设备,一觉醒来，广州也乱套了，齐齐安排核酸去～,转发,评论,赞,2022-04-09
八字比你多,5分钟前 转赞人数超过10,吃了吗HarmonyOS设备,#上海新增本土确诊1015例无症状22609例#,转发,2,13,2022-04-09
一只借虎威de喵,4分钟前,虎虎生威iPhone客户端,（投稿）上半年貌似陆续会开的古装项目。,转发,3,赞,2022-04-09
珂珂可可爱可乐,5分钟前 转赞人数超过10,iPhone客户端,#上海拟再开展一次全员核酸检测#,转发,评论,16,2022-04-09
,,,,,,,2022-04-09
海口直播12345,4分钟前,微博视频号,【,转发,评论,赞,2022-04-09
蓝鲸财经记者工作平台,5分钟前 转赞人数超过40,微博视频号,【上海：拟再开展一次全员核酸检测，将划分封控区、管控区和防范区，进行阶梯式管理】上海市4月9日举行新冠肺炎疫情防控新闻发布会，上海市副市长、市疫情防控工作领导小组副组长宗明在会上表示，根据国家新冠疫情社区防控的有关规定，结合之前多轮筛查的情况，拟再开展一次全员核酸检测，根据检测结果 ​,23,10,20,2022-04-09
Sylvie01,5分钟前 转赞人数超过30,iPhone客户端,#无锡106#,转发,11,36,2022-04-09
中時電子報新影視頻道,4分钟前,微博 weibo.com,【张震炙热眼神吓到名模 被爆私下反差萌“舞技超强”】科幻寓言极短篇《永生号》8日在金马奇幻影展开幕举行世界首映，导演王维明率领,转发,评论,赞,2022-04-09
科技深度IN,5分钟前,,#上海新增本土确诊1015例无症状22609例#,转发,1,3,2022-04-09
中国广州发布,5分钟前,微博 weibo.com,【增城最新通告：暂缓殡葬服务场所现场祭扫】,1,评论,赞,2022-04-09
东南早报,5分钟前,微博 weibo.com,【刚刚通报！泉州昨日新增感染者，来自这些地方】,转发,评论,赞,2022-04-09
tanpeiyu,5分钟前,iPhone客户端,IARC的数据2020年中国只算癌症死亡病例300万例，一年，记住是一年，不是疫情流行这两三年，是年均死三百多万人，真看重人命是不是应该拿对待新冠的精神和劲头以及医疗资源和财政医保的倾斜力度去搞一搞？没头脑和不高兴爱问一句你家有老人吗？别问别人了猜猜你爸妈爷奶什么时候得癌症还是得新冠吧。 ​,转发,评论,1,2022-04-09
名城苏州网,5分钟前,微博 weibo.com,#苏州战疫#,转发,评论,赞,2022-04-09
矮油别害羞,6分钟前 转赞人数超过20,搞笑超话,#等疫情结束后去吃顿火锅吧#,32,9,30,2022-04-09
翎涟,6分钟前 转赞人数超过10,vivo X60 蔡司影像,#广州 疫情#,转发,1,12,2022-04-09
上海发布,6分钟前 转赞人数超过10,微博 weibo.com,【市卫生健康委通报本市疫情防控工作最新情况】,9,6,9,2022-04-09
Bbikmi,5分钟前,iPhone客户端,记录一下近期幸福感爆炸的事情,转发,评论,赞,2022-04-09
黄河新闻网吕梁频道,5分钟前,微博 weibo.com,【侯马市公安局开展全警核酸检测】,转发,评论,赞,2022-04-09
追风少年刘全有,6分钟前 转赞人数超过200,,天气那么好，没有疫情该多好啊！ ​,75,60,304,2022-04-09
中国侨网,5分钟前,iPhone客户端,#上海将进行三区阶梯式管理#,转发,评论,1,2022-04-09
每日数码科技杂谈,5分钟前,,广州疫情卷土重来，昨日新增6例！疫情的流调结果让人惊讶，传播速度主要跟从事职业有关！,转发,评论,1,2022-04-09
请用粤语念尔淳,5分钟前,HUAWEI P20 Pro,隔壁天河城，又双叒封了,转发,评论,赞,2022-04-09
辽视第一时间,5分钟前,微博 weibo.com,【4月8日，营口市新增3例本土无症状感染者  为鲅鱼圈区报告】4月8日0时至24时，营口市新增3例新冠肺炎本土无症状感染者，为鲅鱼圈区报告，均在集中隔离场所中发现，现已闭环转运至定点隔离医院治疗。本轮疫情营口市累计报告本土确诊病例197例，本土无症状感染者503例，其中鲅鱼圈区累计报告本土确诊病 ​,1,评论,赞,2022-04-09
齐鲁晚报,6分钟前,微博 weibo.com,#4月8日山东新冠肺炎疫情情况#,1,1,2,2022-04-09
,,,,,,,2022-04-09
hxy没有意义的id名,6分钟前,iPad mini,#距2022年高考还有不到60天#,转发,3,5,2022-04-09
我苏网,6分钟前,搜狗高速浏览器,【徐州市疫情防控通告（2022年第40号）】,转发,评论,赞,2022-04-09
北半球的葉子,6分钟前,Redmi K30 5G先锋,每天看着微博上关于上海疫情的各种事情.... 真的很让人揪心... 尤其是看到那些孤寡老人没人管的视频，真的是连忙划走，看不得,转发,3,1,2022-04-09
企鹅水水XX,6分钟前,iPhone,喝着AG的日子，最近怎么就无敌想念咖啡呢…或许是买来解馋的咖啡堵在路上太久，求而不得，思念太深；又或许是近期疫情封控，总想着吃吃喝喝些平时自由时都很久不碰的东西。终于得了机会来一杯，妈呀！真的太好喝了，一解相思之苦～给老公也捎上一杯～然后带着酸辣粉来公司，哇哦，今日的加班生活如此美 ​,转发,评论,赞,2022-04-09
拽爷你博帝·85,6分钟前,小摩托iPhone 13,#安徽5000余医护人员4255吨物资驰援上海#,26,4,53,2022-04-09
红高粱honggaoliang,6分钟前,HUAWEI P40 Pro 5G,20220409 新的一天你好！,转发,评论,赞,2022-04-09
小杨爱吃桃monica,6分钟前,iPhone客户端,#广州疫情#,转发,评论,1,2022-04-09
南昌铁路,6分钟前,iPhone客户端,#南铁微视角#,转发,评论,1,2022-04-09
无为菽僧,6分钟前,HUAWEI Mate 10,疫情日记,转发,评论,赞,2022-04-09
虹麓述评,6分钟前,微博 weibo.com,在中国明显陷入上海的疫情并快速全面地向全国散发的状态下，中国经济面临严峻考验，这种考验将波及全球供应端并不可避免地会带来全球供应端紧缩，也就是全球通胀危机，即使美联储如何快速加息都无法解决美国通胀问题。其次，在中国制造被病毒疫情干扰而萎缩的可预期前提下，世界大宗产品的价格会遭遇致 ​,转发,评论,赞,2022-04-09
寧晓言,7分钟前 转赞人数超过60,热点追踪HarmonyOS设备,#上海疫情#,26,42,59,2022-04-09
WulikkDeal,6分钟前,华为Mate30E Pro 5G,#广州疫情#,转发,2,1,2022-04-09
河南共青团,6分钟前,微博视频号,截至2022年4月8日24时河南省新型冠状病毒肺炎疫情最新情况！,转发,评论,1,2022-04-09
沈丘县融媒体中心,6分钟前,微博 weibo.com,#周口好网民#,转发,评论,赞,2022-04-09
时光会吃人啊,6分钟前,iPhone客户端,#生活日记#,转发,1,1,2022-04-09
新华网,7分钟前 转赞人数超过20,微博 weibo.com,【上海拟再开展一次全员核酸检测，将依据风险程度大小，按照“三区划分”原则，进行阶梯式管理】9日上午，上海召开疫情防控发布会通报，根据国家新冠疫情社区防控的有关规定，结合之前多轮筛查的情况，拟再开展一次全员核酸筛查，根据检测结果分析研判，实施分区分级差异化防控，依据风险程度的大小， ​,8,16,24,2022-04-09
脊梁in上海SH,7分钟前 转赞人数超过80,微博 weibo.com,闲来无事做了一下上海各区（图1/2）,23,评论,76,2022-04-09
忱言,6分钟前,iPhone 13 Pro,#广州 疫情#,转发,评论,1,2022-04-09
Moku-Vv,6分钟前,朱一龙超话,#TOMFORD36虎瞳盘#,转发,评论,6,2022-04-09
广州公安,6分钟前,360安全浏览器,【白云区部分公交线路临时调整】根据白云区疫情防控的有关要求，结合相关管控区域的设置，从4月9日起，临时撤销管控区域范围的325个公交站点（公交总站22个，中途站点303个）。同时对途经区域内的160条线路实施临时调整，其中35条线路临时停运，105条线路临时截短不进入管控区域，20条线路实施绕行。,转发,评论,赞,2022-04-09
,,,,,,,2022-04-09
中国新闻网,7分钟前 转赞人数超过40,微博 weibo.com,【,2,19,46,2022-04-09
